Mosquito species,Parasite,Source,Trait names,Citation key,Reference
Aedes aegypti,DENV,Mordecai 2017,"c, b",Alto2013-wu,Alto&Bettinardi_2013_AJTMH
Aedes aegypti,DENV,Mordecai 2017,"c, b, EIP",Carrington2013-yl,Carrington_et_al_2013_PNTD
Aedes aegypti,DENV,Mordecai 2017,EIP,Focks1995-hh,Focks_et_al_1995_AJTMH
Aedes aegypti,DENV,Mordecai 2017,"c, b",Lambrechts2011-qz,Lambrects_et_al_2011_PNAS
Aedes aegypti,DENV,Mordecai 2017,EIP,McLean1975-dm,McLeah_et_al_1975_MosquitoNews
Aedes aegypti,DENV,Mordecai 2017,EIP,McLean1974-gq,McLean_et_al_1974_CanJMicobiol
Aedes aegypti,DENV,Mordecai 2017,"EIP, c, b",Watts1987-ev,Watts_et_al_1987_AJTMH
Aedes aegypti,NA,Mordecai 2017,"1/mu, EFD",Beserra2009-cw,Beserra_2009
Aedes aegypti,NA,Mordecai 2017,MDR,Couret2014-ny,Couret_et_al_2007_PLOS
Aedes aegypti,NA,Mordecai 2017,"MDR, pEA",Eisen2014-fl,Eisen_et_al_2014
Aedes aegypti,NA,Mordecai 2017,GCR,Focks1993-jf,Focks_et_al_1993a_JMedEntom
Aedes aegypti,NA,Mordecai 2017,"MDR, pEA",Kamimura2002-ac,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
Aedes aegypti,NA,Mordecai 2017,GCR,Morin2015-an,Morin_et_al_2015
Aedes aegypti,NA,Mordecai 2017,"MDR, pEA",Rueda1990-zf,Rueda_et_al_1990_EntSocAm
Aedes aegypti,NA,Mordecai 2017,"MDR, pEA",Tun-Lin2000-ql,Tun-Lin_et_al_2000_MedVetEnto
Aedes aegypti,NA,Mordecai 2017,"pEA, MDR",Westbrook2010-zb,Westbrook_Thesis_2010
Aedes aegypti,NA,Mordecai 2017,"p/days, EFD",Yang2009-fi,Yang_et_al_2008_EpidInfect
Aedes aegypti,NA,Tesla 2018,lf,Tesla2018-vc,Tesla 2018
Aedes aegypti,YFV,Mordecai 2017,PDR,Davis1932-bs,Davis_1932_AmJEpidemiology
Aedes aegypti,ZIKV,Tesla 2018,"bc, EIR",Tesla2018-vc,Tesla 2018
Aedes albopictus,CHIKV,Mordecai 2017,c,Westbrook2010-zb,Westbrook_Thesis_2010
Aedes albopictus,CHIKV,Mordecai 2017,"b, c",Westbrook2010-gc,Westbrook_et_al_2010_VecBorn&ZooDis
Aedes albopictus,DENV,Mordecai 2017,"c, b",Alto2013-wu,Alto&Bettinardi_2013_AJTMH
Aedes albopictus,DENV,Mordecai 2017,"EIP, b, c",Xiao2014-oa,Xiao_et_al_2014_Arch Virol
Aedes albopictus,NA,Mordecai 2017,prop.dead,Alto2001-nq,Alto_et_al_2001b_JMedEnto
Aedes albopictus,NA,Mordecai 2017,MDR,Alto2001-nq,Alto_et_al_2001b_JMedEnto
Aedes albopictus,NA,Mordecai 2017,MDR,Briegel2001-an,Briegel_etal_2001_JMedEnto
Aedes albopictus,NA,Mordecai 2017,"1/mu, EFD",Calado2002-ig,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia
Aedes albopictus,NA,Mordecai 2017,1/MDR,Calado2002-cg,Calado_Navarro-Silva_2002b_RevSaudaPublica
Aedes albopictus,NA,Mordecai 2017,"pEA, TFD, GCD, MDR",Delatte2009-gq,Delatte_etal_2009_JMedEnto
Aedes albopictus,NA,Mordecai 2017,"MDR, TFD, 1/mu",Ezeakacha2015-mc,Ezeakacha_Dissertation_2015
Aedes albopictus,NA,Mordecai 2017,"pEA, MDR",Muturi2011-xd,Muturi_et_al_2011_JMedEnto
Aedes albopictus,NA,Mordecai 2017,pEA,Teng2000-mc,Teng_Apperson_2000_JMedEnto
Aedes albopictus,NA,Mordecai 2017,"pEA, MDR",Westbrook2010-zb,Westbrook_Thesis_2010
Aedes albopictus,NA,Mordecai 2017,MDR,Westbrook2010-gc,Westbrook_et_al_2010_VecBorn&ZooDis
Aedes albopictus,NA,Mordecai 2017,"pEA, MDR",Wiwatanaratanabutr2006-ja,Witwatana_Kittayaong_2006_Med&VetEnt
Aedes albopictus,NA,Mordecai 2017,"1/MDR, TFD",Yee2017-bj,Yee_et al_2016 JAE_in_review
Aedes albopictus,none,Mordecai 2013,EFD,Delatte2009-gq,"Delatte et al., 2009"
Aedes dorsalis,NA,Shocket 2020,Egg viability,McHaffey1970-me,McHaffey_&_Harwood_1970_JMedEnt
Aedes dorsalis,NA,Shocket 2020,"EPR, pO",Parker1982-yi,Parker_1982_AnnEntomolSocAm
Aedes nigromaculis,NA,Shocket 2020,1/MDR,Brust1967-bc,Brust_1967_TheCanadianEntomologist
Aedes nigromaculis,NA,Shocket 2020,pLA,Brust1967-bc,Brust_1967_TheCanadianEntomologist
Aedes nigromaculis,NA,Shocket 2020,Egg viability,McHaffey1972-dg,McHaffey_1972_MosquitoNews
Aedes notoscriptus,NA,Shocket 2018,"pLA, 1/MDR",Williams2011-lc,Williams_2011_AusJEntrom
Aedes sollicitans,NA,Shocket 2020,"1/MDR, pLA",Shelton1973-xv,Shelton_1973_MosquitoNews
Aedes spp.,NA,Mordecai 2017,EFD,Calado2002-ig,Calado&Navarro-Silva_2002
Aedes spp.,NA,Mordecai 2017,a,Calado2002-cg,Callado (2002)
Aedes spp.,NA,Mordecai 2017,"e2a, mdr",Jalil1972-xs,Jalil 1972
Aedes spp.,NA,Mordecai 2017,"1/MDR, 1/mu, EFD",Joshi1996-eq,Joshi_1996
Aedes spp.,NA,Mordecai 2017,a,Lardeux2008-wv,Lardeux et al 2008
Aedes spp.,other,Mordecai 2017,EIP,Anderson2006-xl,Anderson_2006
Aedes spp.,other,Mordecai 2017,EIP,Blanc1930-vh,Blanc_1930
Aedes spp.,other,Mordecai 2017,EIP,Rohani2009-lo,Rohani_2009
Aedes spp.,other,Mordecai 2017,EIP,Salazar2007-yd,Salazar_2007
Aedes spp.,other,Mordecai 2017,EIP,Watts1987-ev,Watts_et_al_1987_AJTMH
Aedes taeniorhynchus,NA,Shocket 2020,1/mu,Nayar1972-mz,Nayar_1972_J.Insect.Physiol.
Aedes taeniorhynchus,RVFV,Shocket 2020,"bc, EIP",Turell1985-xv,Turell_Rossi_Bailey_1985_AmJTropMedHyg
Aedes taeniorhynchus,SINV,Shocket 2020,"c, EIP",Turell1990-ee,Turell_&_Lundstrom_1990_AmericanJofTropicalMedicineandHygiene
Aedes triseriatus,EEEV,Shocket 2020,"bc, EIP",Chamberlain1955-az,Chamberlain&Sudia_1995_AmJEpi
Aedes triseriatus,NA,Shocket 2020,"1/MDR, pLA",Shelton1973-xv,Shelton_1973_MosquitoNews
Aedes triseriatus,NA,Shocket 2020,pLA,Teng2000-mc,Teng_Apperson_2000_JMedEnto
Aedes vexans,NA,Shocket 2020,1/MDR,Brust1967-bc,Brust_1967_TheCanadianEntomologist
Aedes vexans,NA,Shocket 2020,pLA,Brust1967-bc,Brust_1967_TheCanadianEntomologist
Aedes vexans,NA,Shocket 2020,Egg viability,McHaffey1972-do,McHaffey_1972_JMedEntom
Aedes vexans,NA,Shocket 2020,"1/MDR, pLA",Trpis1970-ek,Trpis&Shemanchuk_1970_TheCanadianEntomologist
Anopheles atroparvus,Plasmodium vivax and plasmodium malarie and plasmodium ovale,Mordecai 2013,EIP,Shute1952-fg,"Shute & Maryon, 1952"
Anopheles culicifacies,Plasmodium falciparum and plasmodium vivax,Mordecai 2013,EIP,Siddons1944-aa,"Siddons, 1944"
Anopheles gambiae,none,Mordecai 2013,"pEA, MDR",Bayoh2003-ne,"Bayoh & Linsday, 2003"
Anopheles gambiae,Plasmodium falciparum,Mordecai 2013,EIP,Vaughan1992-fm,"Vaughan et al., 1992"
Anopheles pseudopunctipennis,none,Mordecai 2013,a,Lardeux2008-wv,"Lardeux et al., 2008"
Anopheles quadrimaculatus,Plasmodium malariae,Mordecai 2013,EIP,Boyd1933-jt,"Boyd & Stratman-Thomas, 1933"
Anopheles quadrimaculatus,Plasmodium vivax,Mordecai 2013,bc,Stratman-Thomas1940-ty,"Stratman-Thomas, 1940"
Anopheles stephensi,Plasmodium falciparum,Mordecai 2013,EIP,Eling2001-um,"Eling et al., 2001"
Anopheles stephensi,Plasmodium vivax and plasmodium malarie and plasmodium falciparum,Mordecai 2013,EIP,Knowles1943-fw,"Knowles & Basu, 1943"
Culex annulirostris,MVE,Shocket 2018,"EIP, bc",Kay1989-ah,Kay_1989_MedVetEntom
Culex annulirostris,NA,Shocket 2018,"pLA, pRH, 1/MDR, 1/mu, EFD",McDONALD1980-xz,McDonald_1980_AusJofEco
Culex annulirostris,NA,Shocket 2018,"pRH, nLR, pLA, 1/MDR",Mottram1986-vc,Mottram_1986_JAustEntSoc
Culex annulirostris,NA,Shocket 2018,"pLA, 1/MDR",Rae1990-lo,Rae_1990_J_Med_Entom
