trait.name,T,trait,ref,trait2,trait2.name,host.code,paras.code,notes
EIP,18,5,Kay_&_Jennings_2002_J_Med_Entom,NA,NA,Ovig,RRV,
EIP,25,4,Kay_&_Jennings_2002_J_Med_Entom,NA,NA,Ovig,RRV,
EIP,32,3,Kay_&_Jennings_2002_J_Med_Entom,NA,NA,Ovig,RRV,
EIP,45,100,NA,NA,NA,Ovig,RRV,
bc,18,0.6,Kay_&_Jennings_2002_J_Med_Entom,5,days post exposure,Ovig,RRV,
bc,18,0.8,Kay_&_Jennings_2002_J_Med_Entom,7,days post exposure,Ovig,RRV,
bc,18,0.7,Kay_&_Jennings_2002_J_Med_Entom,9,days post exposure,Ovig,RRV,
bc,18,0.9,Kay_&_Jennings_2002_J_Med_Entom,12,days post exposure,Ovig,RRV,
bc,18,1,Kay_&_Jennings_2002_J_Med_Entom,14,days post exposure,Ovig,RRV,
bc,18,0.6,Kay_&_Jennings_2002_J_Med_Entom,16,days post exposure,Ovig,RRV,
bc,18,0.9,Kay_&_Jennings_2002_J_Med_Entom,18,days post exposure,Ovig,RRV,
bc,18,0.8,Kay_&_Jennings_2002_J_Med_Entom,20,days post exposure,Ovig,RRV,
bc,18,0.9,Kay_&_Jennings_2002_J_Med_Entom,25,days post exposure,Ovig,RRV,
bc,18,1,Kay_&_Jennings_2002_J_Med_Entom,30,days post exposure,Ovig,RRV,
bc,18,0.9,Kay_&_Jennings_2002_J_Med_Entom,35,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,4,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,5,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,6,days post exposure,Ovig,RRV,
bc,25,0.8,Kay_&_Jennings_2002_J_Med_Entom,7,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,8,days post exposure,Ovig,RRV,
bc,25,0.825,Kay_&_Jennings_2002_J_Med_Entom,9,days post exposure,Ovig,RRV,
bc,25,0.8,Kay_&_Jennings_2002_J_Med_Entom,10,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,12,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,14,days post exposure,Ovig,RRV,
bc,25,0.825,Kay_&_Jennings_2002_J_Med_Entom,16,days post exposure,Ovig,RRV,
bc,25,0.825,Kay_&_Jennings_2002_J_Med_Entom,18,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,20,days post exposure,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,25,days post exposure,Ovig,RRV,
bc,32,0.6,Kay_&_Jennings_2002_J_Med_Entom,3,days post exposure,Ovig,RRV,
bc,32,0.6,Kay_&_Jennings_2002_J_Med_Entom,5,days post exposure,Ovig,RRV,
bc,32,0.8,Kay_&_Jennings_2002_J_Med_Entom,7,days post exposure,Ovig,RRV,
bc,32,1,Kay_&_Jennings_2002_J_Med_Entom,9,days post exposure,Ovig,RRV,
bc,32,0.75,Kay_&_Jennings_2002_J_Med_Entom,12,days post exposure,Ovig,RRV,
bc,32,1,Kay_&_Jennings_2002_J_Med_Entom,14,days post exposure,Ovig,RRV,
bc,32,0.825,Kay_&_Jennings_2002_J_Med_Entom,16,days post exposure,Ovig,RRV,
bc,32,0.8,Kay_&_Jennings_2002_J_Med_Entom,20,days post exposure,Ovig,RRV,
bc,18,0.86,Kay_&_Jennings_2002_J_Med_Entom,NA,NA,Ovig,RRV,
bc,25,1,Kay_&_Jennings_2002_J_Med_Entom,NA,NA,Ovig,RRV,
bc,32,0.75,Kay_&_Jennings_2002_J_Med_Entom,NA,NA,Ovig,RRV,
pEA,18,0.045,Rae_1990_J_Med_Entom,NA,NA,Cann,NA,pLA
pEA,24.5,0.84,Rae_1990_J_Med_Entom,NA,NA,Cann,NA,pLA
