seriesID,trait.name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes
Shocket,Egg viability,21,0.821,NA,NA,NA,NA,Cmol,NA,Oda_1980_TropMed,Table 2,
Shocket,Egg viability,25,0.932,NA,NA,NA,NA,Cmol,NA,Oda_1980_TropMed,Table 2,
Shocket,Egg viability,28,0.495,NA,NA,NA,NA,Cmol,NA,Oda_1980_TropMed,Table 2,
Shocket,Egg viability,30,0.074,NA,NA,NA,NA,Cmol,NA,Oda_1980_TropMed,Table 2,
Shocket,Egg viability,21,0.959,NA,NA,NA,NA,Cqui,NA,Oda_1980_TropMed,Table 4,
Shocket,Egg viability,25,0.87,NA,NA,NA,NA,Cqui,NA,Oda_1980_TropMed,Table 4,
Shocket,Egg viability,30,0.943,NA,NA,NA,NA,Cqui,NA,Oda_1980_TropMed,Table 4,
Shocket,Egg viability,10,0.506,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Shocket,Egg viability,15,0.652,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Shocket,Egg viability,20,0.817,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Shocket,Egg viability,25,0.811,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Shocket,Egg viability,30,0.723,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Shocket,Egg viability,35,0.701,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Shocket,Egg viability,40,0,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 1,Translated from Chinese paper
Numazu_20,Egg viability,32,0.929,0.013,0.016,photoperiod length,16,Ador,NA,McHaffey_&_Harwood_1970_JMedEnt,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Numazu_20,Egg viability,32,0.928,0.017,0.021,photoperiod length,11,Ador,NA,McHaffey_&_Harwood_1970_JMedEnt,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Numazu_20,Egg viability,25,0.856,0.019,0.021,photoperiod length,16,Ador,NA,McHaffey_&_Harwood_1970_JMedEnt,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Numazu_20,Egg viability,25,0.658,0.035,0.026,photoperiod length,11,Ador,NA,McHaffey_&_Harwood_1970_JMedEnt,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Numazu_20,Egg viability,10,0.343,0.03,0.029,photoperiod length,16,Ador,NA,McHaffey_&_Harwood_1970_JMedEnt,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Numazu_20,Egg viability,10,0.4,0.035,0.024,photoperiod length,11,Ador,NA,McHaffey_&_Harwood_1970_JMedEnt,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Shocket,Egg viability,32,0.997,NA,NA,photoperiod length,16,Anig,NA,McHaffey_1972_MosquitoNews,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Shocket,Egg viability,32,0.996,NA,NA,photoperiod length,11,Anig,NA,McHaffey_1972_MosquitoNews,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Shocket,Egg viability,25,0.964,NA,NA,photoperiod length,16,Anig,NA,McHaffey_1972_MosquitoNews,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Shocket,Egg viability,25,0.972,NA,NA,photoperiod length,11,Anig,NA,McHaffey_1972_MosquitoNews,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval
Shocket,Egg viability,10,0.532,8.2,7.8,photoperiod length,16,Anig,NA,McHaffey_1972_MosquitoNews,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval
