seriesID,trait.name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes
Verwillow_15,1/MDR,25,18.24,0.42,0.42,NA,NA,Cpip,NA,Mpho_2002_Heredity,Results text,
Verwillow_15,1/MDR,30,15.86,0.46,0.46,NA,NA,Cpip,NA,Mpho_2002_Heredity,Results text,
Verwillow_15,1/MDR,37,14.98,0.42,0.42,NA,NA,Cpip,NA,Mpho_2002_Heredity,Results text,
Shocket,1/MDR,25,21.72,0.277,0.277,Population,Kotta (field derived strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,30,18.33,0.191,0.191,Population,Kotta (field derived strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,37,16.23,0.422,0.422,Population,Kotta (field derived strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,25,19.34,0.644,0.644,Population,Temix (insecticide resistant lab strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,30,14.55,0.653,0.653,Population,Temix (insecticide resistant lab strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,37,14.22,0.361,0.361,Population,Temix (insecticide resistant lab strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,25,20.06,0.16,0.16,Population,S-lab (standard lab strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,30,16.5,0.204,0.204,Population,S-lab (standard lab strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Shocket,1/MDR,37,12.67,0.167,0.167,Population,S-lab (standard lab strain),Cpip,NA,Mpho_2002_EuroJEntom,Table 1,
Moye_11,1/MDR,16,29.4,0.4357714,0.4357714,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_11,1/MDR,20,15.1,0.0937053,0.0937053,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_11,1/MDR,24,12.2,0.0887227,0.0887227,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_11,1/MDR,28,9.1,0.0344341,0.0344341,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_11,1/MDR,32,9.9,0.0641164,0.0641164,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_13,1/MDR,16,19.6,0.1943815,0.1943815,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_13,1/MDR,20,16.1,0.0546244,0.0546244,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_13,1/MDR,24,11.9,0.1243498,0.1243498,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_13,1/MDR,28,9.5,0.0232628,0.0232628,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_13,1/MDR,32,8.8,0.0576678,0.0576678,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_12,1/MDR,16,25.2,0.2332855,0.2332855,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_12,1/MDR,20,18.4,0.1385335,0.1385335,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_12,1/MDR,24,11.9,0.1896116,0.1896116,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_12,1/MDR,28,10.7,0.1007781,0.1007781,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_12,1/MDR,32,9.3,0.1232882,0.1232882,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_14,1/MDR,16,24.8,0.3293962,0.3293962,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_14,1/MDR,20,15.6,0.1800174,0.1800174,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_14,1/MDR,24,11.3,0.085207,0.085207,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_14,1/MDR,28,9.7,0.0319333,0.0319333,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Moye_14,1/MDR,32,9.5,0.0345426,0.0345426,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Figure 1,
Shocket,1/MDR,16,18.2,0.302663438,0.302663438,NA,NA,Cres,NA,Ciota_2014_JMedEntom,Figure 1,
Shocket,1/MDR,20,13.9,0.242130751,0.242130751,NA,NA,Cres,NA,Ciota_2014_JMedEntom,Figure 1,
Shocket,1/MDR,24,10.8,0.181598063,0.181598063,NA,NA,Cres,NA,Ciota_2014_JMedEntom,Figure 1,
Shocket,1/MDR,28,9.6,0.242130751,0.242130751,NA,NA,Cres,NA,Ciota_2014_JMedEntom,Figure 1,
Shocket,1/MDR,32,9.4,0.181598063,0.181598063,NA,NA,Cres,NA,Ciota_2014_JMedEntom,Figure 1,
Numazu_5,1/MDR,15,39.67,0.94,0.94,density,1,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,15,57.33,3.3,3.3,density,5,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,15,67,7.52,7.52,density,10,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,22,19.25,1.92,1.92,density,1,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,22,19,0.63,0.63,density,5,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,22,25.67,0.94,0.94,density,10,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,30,13.58,0.64,0.64,density,1,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,30,14.06,2.52,2.52,density,5,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_5,1/MDR,30,15.45,3.51,3.51,density,10,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 1,"Cuba strain, females"
Numazu_6,1/MDR,15,47.75,4.44,4.44,density,1,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,15,46.67,3.35,3.35,density,5,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,15,50,4.24,4.24,density,10,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,22,23.62,1.94,1.94,density,1,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,22,31,3.96,3.96,density,5,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,22,37.5,2.22,2.22,density,10,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,30,13.27,0.45,0.45,density,1,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,30,14.2,1.6,1.6,density,5,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Numazu_6,1/MDR,30,15,0.71,0.71,density,10,Cmol,NA,Olejnicek&Gelbic_2000_JofVectorEcology,Table 2,"Mosul strain, females"
Shocket,1/MDR,12,1000,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,15,19,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,20,13.9,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,23,13.7,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,26,11.1,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,29,1000,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,32,1000,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,35,1000,NA,NA,NA,NA,Cino,NA,Shelton_1973_MosquitoNews,Figure 1,
Shocket,1/MDR,12,25.3,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,
Shocket,1/MDR,15,13,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,
Shocket,1/MDR,20,10.2,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,
Shocket,1/MDR,23,9,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,
Shocket,1/MDR,26,6.7,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,
Shocket,1/MDR,29,6.4,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,
Shocket,1/MDR,32,1000,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,Did not complete development
Shocket,1/MDR,35,1000,NA,NA,NA,NA,Cres,NA,Shelton_1973_MosquitoNews,Figure 2,Did not complete development
Numazu,1/MDR,12,16.75,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,15,11.49,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,20,7.96,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,23,7.97,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,26,7.47,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,29,6.45,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,32,6.97,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,
Numazu,1/MDR,35,1000,NA,NA,NA,NA,Cqui,NA,Shelton_1973_MosquitoNews,Figure 3,Did not complete development
Shocket,1/MDR,12,16.7,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,15,11.5,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,20,8,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,23,8,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,26,7.5,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,29,6.4,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,32,7,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,
Shocket,1/MDR,35,1000,NA,NA,NA,NA,Csal,NA,Shelton_1973_MosquitoNews,Figure 4,Did not complete development
Shocket,1/MDR,12,1000,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,Did not complete development
Shocket,1/MDR,15,19.2,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Shocket,1/MDR,20,14.9,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Shocket,1/MDR,23,9,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Shocket,1/MDR,26,6.9,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Shocket,1/MDR,29,5.8,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Shocket,1/MDR,32,5.3,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Shocket,1/MDR,35,5.3,NA,NA,NA,NA,Asol,NA,Shelton_1973_MosquitoNews,Figure 7,
Numazu,1/MDR,12,1000,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,Did not complete development
Numazu,1/MDR,15,21.6,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,
Numazu,1/MDR,20,13.8,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,
Numazu,1/MDR,23,11,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,
Numazu,1/MDR,26,10.8,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,
Numazu,1/MDR,29,11,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,
Numazu,1/MDR,32,10,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,
Numazu,1/MDR,35,1000,NA,NA,NA,NA,Atri,NA,Shelton_1973_MosquitoNews,Figure 8,Did not complete development
Numazu_1,1/MDR,15,31.35,0.46,0.46,NA,NA,Cqui,NA,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Table 1,
Numazu_1,1/MDR,20,12.07,0.14,0.14,NA,NA,Cqui,NA,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Table 1,
Numazu_1,1/MDR,25,10.52,0.12,0.12,NA,NA,Cqui,NA,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Table 1,
Numazu_1,1/MDR,27,7.07,0.05,0.05,NA,NA,Cqui,NA,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Table 1,
Numazu_1,1/MDR,30,7.21,0.06,0.06,NA,NA,Cqui,NA,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Table 1,
Numazu_1,1/MDR,34,7.08,0.06,0.06,NA,NA,Cqui,NA,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Table 1,
Numazu_1,1/MDR,25,20.02,0.12,0.12,insecticide concentration,0,Cqui,NA,Mpho_2001_Chemosphere,Figure 1,
Numazu_1,1/MDR,30,16.43,0.3,0.3,insecticide concentration,0,Cqui,NA,Mpho_2001_Chemosphere,Figure 1,
Numazu_1,1/MDR,37,12.65,0.18,0.18,insecticide concentration,0,Cqui,NA,Mpho_2001_Chemosphere,Figure 1,
Numazu_1,1/MDR,25,19.72,0.12,0.12,insecticide concentration,0.00011,Cqui,NA,Mpho_2001_Chemosphere,Figure 1,
Numazu_1,1/MDR,30,16.49,0.24,0.24,insecticide concentration,0.00011,Cqui,NA,Mpho_2001_Chemosphere,Figure 1,
Numazu_1,1/MDR,37,12.77,0.3,0.3,insecticide concentration,0.00011,Cqui,NA,Mpho_2001_Chemosphere,Figure 1,
Numazu_3,1/MDR,15,26.7,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,20,19.6,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,25,12.6,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,30,10.6,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
