seriesID,trait.name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes,joint.code
Numazu_11,b,10,0,NA,NA,Days Post Infection,80,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,15,0.17,NA,NA,Days Post Infection,72,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,20,0.709,NA,NA,Days Post Infection,21,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,20,0.407,NA,NA,Days Post Infection,24,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,20,0.581,NA,NA,Days Post Infection,27,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,25,0.54,NA,NA,Days Post Infection,10,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,25,0.617,NA,NA,Days Post Infection,13,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,25,0.791,NA,NA,Days Post Infection,16,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,25,0.908,NA,NA,Days Post Infection,19,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,25,0.929,NA,NA,Days Post Infection,21,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,25,0.789,NA,NA,Days Post Infection,24,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,30,0.395,NA,NA,Days Post Infection,7,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,30,0.801,NA,NA,Days Post Infection,10,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,30,0.673,NA,NA,Days Post Infection,13,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,30,0.755,NA,NA,Days Post Infection,16,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,30,0.763,NA,NA,Days Post Infection,19,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_11,b,30,0.502,NA,NA,Days Post Infection,21,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV
Numazu_9,b,10,0.081,NA,NA,Days Post Infection,24,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,10,0.041,NA,NA,Days Post Infection,27,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,10,0.003,NA,NA,Days Post Infection,30,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,10,0.14,NA,NA,Days Post Infection,45,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.362,NA,NA,Days Post Infection,13,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.485,NA,NA,Days Post Infection,16,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.603,NA,NA,Days Post Infection,19,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.361,NA,NA,Days Post Infection,21,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.486,NA,NA,Days Post Infection,24,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.562,NA,NA,Days Post Infection,27,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,15,0.681,NA,NA,Days Post Infection,30,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.723,NA,NA,Days Post Infection,10,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.62,NA,NA,Days Post Infection,13,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.651,NA,NA,Days Post Infection,16,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.519,NA,NA,Days Post Infection,19,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.419,NA,NA,Days Post Infection,21,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.197,NA,NA,Days Post Infection,24,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,20,0.438,NA,NA,Days Post Infection,27,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,25,0.603,NA,NA,Days Post Infection,7,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,25,0.509,NA,NA,Days Post Infection,10,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,25,0.393,NA,NA,Days Post Infection,13,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
Numazu_9,b,25,0.394,NA,NA,Days Post Infection,16,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV
