seriesID,trait.name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes
Moye_16,pLA,16,0.92,NA,NA,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_16,pLA,20,0.87,NA,NA,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_16,pLA,24,0.87,NA,NA,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_16,pLA,28,0.82,NA,NA,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_16,pLA,32,0.83,NA,NA,Population,Lab colony,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_17,pLA,16,0.87,NA,NA,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_17,pLA,20,0.77,NA,NA,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_17,pLA,24,0.61,NA,NA,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_17,pLA,28,0.83,NA,NA,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_17,pLA,32,0.46,NA,NA,Population,Field-derived,Cpip,NA,Ciota_2014_JMedEntom,Table 1,
Moye_18,pLA,16,0.96,NA,NA,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_18,pLA,20,0.84,NA,NA,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_18,pLA,24,0.86,NA,NA,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_18,pLA,28,0.95,NA,NA,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_18,pLA,32,0.77,NA,NA,Population,Lab colony,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_19,pLA,16,0.81,NA,NA,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_19,pLA,20,0.89,NA,NA,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
Moye_19,pLA,24,0.7,NA,NA,Population,Field-derived,Cqui,NA,Ciota_2014_JMedEntom,Table 1,
