Trial,Batch,Time (dpi),Temp,Cup,Dead,Censored,Alive,,
1,2,0,16,ZIKV,0,0,250,,
1,2,0,16,Control,0,0,250,,
1,1,0,20,ZIKV,0,0,250,,
1,1,0,20,Control,0,0,250,,
1,5,0,24,ZIKV,0,0,250,,
1,5,0,24,Control,0,0,250,,
1,1,0,28,ZIKV,0,0,250,,
1,1,0,28,Control,0,0,250,,
1,2,0,32,ZIKV,0,0,250,,
1,2,0,32,Control,0,0,250,,
1,1,0,34,ZIKV,0,0,250,,
1,1,0,34,Control,0,0,250,,
1,6,0,36,ZIKV,0,0,250,,
1,6,0,36,Control,0,0,250,,
1,6,0,38,ZIKV,0,0,250,,
1,6,0,38,Control,0,0,250,,
1,2,1,16,ZIKV,0,0,250,,
1,2,1,16,Control,0,0,250,,
1,1,1,20,ZIKV,0,0,250,,
1,1,1,20,Control,0,0,250,,
1,5,1,24,ZIKV,1,0,249,,
1,5,1,24,Control,2,0,248,,
1,1,1,28,ZIKV,0,0,250,,
1,1,1,28,Control,0,0,250,,
1,2,1,32,ZIKV,0,0,250,,
1,2,1,32,Control,0,0,250,,
1,1,1,34,ZIKV,1,0,249,,
1,1,1,34,Control,3,0,247,,
1,6,1,36,ZIKV,2,0,248,,
1,6,1,36,Control,3,0,247,,
1,6,1,38,ZIKV,63,0,187,,
1,6,1,38,Control,100,0,150,,
1,2,2,16,ZIKV,1,23,226,,
1,2,2,16,Control,3,23,224,,
1,1,2,20,ZIKV,3,23,224,,
1,1,2,20,Control,2,23,225,,
1,5,2,24,ZIKV,1,23,225,,
1,5,2,24,Control,3,23,222,,
1,1,2,28,ZIKV,1,23,226,,
1,1,2,28,Control,1,23,226,,
1,2,2,32,ZIKV,0,23,227,,
1,2,2,32,Control,0,23,227,,
1,1,2,34,ZIKV,2,23,224,,
1,1,2,34,Control,2,23,222,,
1,6,2,36,ZIKV,1,23,224,,
1,6,2,36,Control,3,23,221,,
1,6,2,38,ZIKV,156,23,8,,
1,6,2,38,Control,135,15,0,,
1,2,3,16,ZIKV,2,0,224,,
1,2,3,16,Control,2,0,222,,
1,1,3,20,ZIKV,0,0,224,,
1,1,3,20,Control,2,0,223,,
1,5,3,24,ZIKV,0,0,225,,
1,5,3,24,Control,0,0,222,,
1,1,3,28,ZIKV,0,0,226,,
1,1,3,28,Control,1,0,225,,
1,2,3,32,ZIKV,1,0,226,,
1,2,3,32,Control,2,0,225,,
1,1,3,34,ZIKV,1,0,223,,
1,1,3,34,Control,1,0,221,,
1,6,3,36,ZIKV,2,0,222,,
1,6,3,36,Control,4,0,217,,
1,6,3,38,ZIKV,8,0,0,,
1,6,3,38,Control,0,0,0,,
1,2,4,16,ZIKV,0,0,224,,
1,2,4,16,Control,5,0,217,,
1,1,4,20,ZIKV,0,0,224,,
1,1,4,20,Control,3,0,220,,
1,5,4,24,ZIKV,0,0,225,,
1,5,4,24,Control,1,0,221,,
1,1,4,28,ZIKV,0,0,226,,
1,1,4,28,Control,0,0,225,,
1,2,4,32,ZIKV,3,0,223,,
1,2,4,32,Control,1,0,224,,
1,1,4,34,ZIKV,1,0,222,,
1,1,4,34,Control,7,0,214,,
1,6,4,36,ZIKV,1,0,221,,
1,6,4,36,Control,5,0,212,,
1,6,4,38,ZIKV,0,0,0,,
1,6,4,38,Control,0,0,0,,
1,2,5,16,ZIKV,1,23,200,,
1,2,5,16,Control,3,23,191,,
1,1,5,20,ZIKV,0,23,201,,
1,1,5,20,Control,2,23,195,,
1,5,5,24,ZIKV,2,23,200,,
1,5,5,24,Control,2,23,196,,
1,1,5,28,ZIKV,1,23,202,,
1,1,5,28,Control,3,23,199,,
1,2,5,32,ZIKV,0,23,200,,
1,2,5,32,Control,1,23,200,,
1,1,5,34,ZIKV,1,23,198,,
1,1,5,34,Control,0,23,191,,
1,6,5,36,ZIKV,1,23,197,,
1,6,5,36,Control,7,23,182,,
1,6,5,38,ZIKV,0,0,0,,
1,6,5,38,Control,0,0,0,,
1,2,6,16,ZIKV,3,0,197,,
1,2,6,16,Control,4,0,187,,
1,1,6,20,ZIKV,0,0,201,,
1,1,6,20,Control,1,0,194,,
1,5,6,24,ZIKV,0,0,200,,
1,5,6,24,Control,0,0,196,,
1,1,6,28,ZIKV,0,0,202,,
1,1,6,28,Control,0,0,199,,
1,2,6,32,ZIKV,1,0,199,,
1,2,6,32,Control,4,0,196,,
1,1,6,34,ZIKV,3,0,195,,
1,1,6,34,Control,4,0,187,,
1,6,6,36,ZIKV,3,0,194,,
1,6,6,36,Control,4,0,178,,
1,6,6,38,ZIKV,0,0,0,,
1,6,6,38,Control,0,0,0,,
1,2,7,16,ZIKV,10,0,187,,
1,2,7,16,Control,8,0,179,,
1,1,7,20,ZIKV,0,0,201,,
1,1,7,20,Control,0,0,194,,
1,5,7,24,ZIKV,1,0,199,,
1,5,7,24,Control,0,0,196,,
1,1,7,28,ZIKV,0,0,202,,
1,1,7,28,Control,1,0,198,,
1,2,7,32,ZIKV,5,0,194,,
1,2,7,32,Control,2,0,194,,
1,1,7,34,ZIKV,1,0,194,,
1,1,7,34,Control,3,0,184,,
