trait.name,T,rep,units,trait
bc,16,1,NA,0
bc,20,1,NA,0.0071
bc,24,1,NA,0.0429
bc,28,1,NA,0.2571
bc,32,1,NA,0.2
bc,34,1,NA,0.1857
bc,36,1,NA,0.117
bc,38,1,NA,0.1
bc,16,2,NA,0
bc,20,2,NA,0
bc,24,2,NA,0.0288
bc,28,2,NA,0.2
bc,32,2,NA,0.1286
bc,34,2,NA,0.1857
bc,36,2,NA,0.0556
bc,38,2,NA,0
EIR,16,1,1/days,0
EIR,20,1,1/days,0.054896794
EIR,24,1,1/days,0.075278531
EIR,28,1,1/days,0.13724952
EIR,32,1,1/days,0.222222222
EIR,34,1,1/days,0.227608968
EIR,36,1,1/days,0.25789813
EIR,38,1,1/days,0.666666667
EIR,16,2,1/days,0
EIR,20,2,1/days,0
EIR,24,2,1/days,0.063035804
EIR,28,2,1/days,0.125
EIR,32,2,1/days,0.143585326
EIR,34,2,1/days,0.172801106
EIR,36,2,1/days,0.281214848
EIR,38,2,1/days,0
lf,16,1-uninf,days,25.7
lf,20,1-uninf,days,24.32
lf,24,1-uninf,days,47.91
lf,28,1-uninf,days,37.4
lf,32,1-uninf,days,28.62
lf,34,1-uninf,days,20.02
lf,36,1-uninf,days,11.31
lf,38,1-uninf,days,0.33
lf,16,1-inf,days,31.32
lf,20,1-inf,days,24.51
lf,24,1-inf,days,93.19
lf,28,1-inf,days,78.61
lf,32,1-inf,days,22.61
lf,34,1-inf,days,20.21
lf,36,1-inf,days,12.94
lf,38,1-inf,days,0.44
lf,16,2-uninf,days,41.46
lf,20,2-uninf,days,24.35
lf,24,2-uninf,days,26.48
lf,28,2-uninf,days,52.6
lf,32,2-uninf,days,22.08
lf,34,2-uninf,days,15.95
lf,36,2-uninf,days,11.32
lf,38,2-uninf,days,0.27
lf,16,2-inf,days,27.38
lf,20,2-inf,days,29.41
lf,24,2-inf,days,80.34
lf,28,2-inf,days,29.43
lf,32,2-inf,days,25.46
lf,34,2-inf,days,20.59
lf,36,2-inf,days,8.31
lf,38,2-inf,days,0.41
